id,x,y,Fecha,year,evento,detalles,causa,perjuicio,zona,links_images
10,-71.31624,-40.15515,30/05/2021,2021,eventos naturales,caida de rocas,lluvia intensa,ninguno,los radales,https://doc-0s-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/g0c23qcs31poanhbggjda2pv40/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9m6jdYZ89_2pRev9ZlnVcnRjO62pikRK_eMxXhsLPT-L4afnVhBaFXIAFrq1ug4mQaiPy0pMEB9_iEBOZmOaUSDdI3ros3Y37Ut7HCa6DzYuEx1CzK8oR2p5xPxVOKIbxer0P77Ih1aUqxCOTBK6nfF-bTrGBMdF8veDGqmK2QKFHbzUsQTUnx85xrjjjt_Y8HL?session=0&fife
11,-71.37799,-40.17693,31/05/2021,2021,eventos naturales,caida de piedra,lluvia intensa,ninguno,ruta nacional 40,https://doc-0s-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/srquctsqc4um1u4j9haumm3f2k/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9n63RN5neJhZFoEKd1j7Y5j5kDLTE_Uu7j3vFLfahF2bImc9Vz0gUqsWGB8DtWparOmgEhwYE-0w3qsryK7DCXmeKpYQJNDm4evKLAlJn7AUCf-Gyf39fv3qsK1C9IoIkFkWxWAumki2jXfuqty1_0BIKADf2B68OjKI8lO2IcOiHQF3PtDx-4oPlvhiN2ictmT?session=0&fife
12,-71.37269,-40.17702,10/6/2021,2021,eventos naturales,caida de rocas,lluvia,ninguno,ruta nacional 40,https://doc-14-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/60h4f60l8t920tdfbrmdu5n99g/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9lCdus-lA3XuQ-wkzQd0e3lpDV9X6Gw7v1TqIR0CuEHPhLOXUnCdz4BsAaklCvV08X6PNoMSqEP4FMHhIvErK10enKM_WA0IDyqMbtf-daAcIGIg1KTIcggjMjddRPbZ9ge9kHTGzOWw4Rnsa-Jvo12g5wQsd_oOfcuHW-3lD99hFsXJ7oLCtjJrky6sesLHro?session=0&fife
13,-71.37598,-40.1655,17/06/2021,2021,accidente personas,suicidio,desconocidos,1 persona,mirador bandurria,https://doc-0s-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/4mj0npup7s8usut5kjijt9oat8/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9lvTa_mzkr5TijcKIFG3FcSwjzErPPymqVyFDzK4gqqM7att38nBXcFjtTHF-qDPkHKegPt5Auy1ZVCt4HvbJlPlRUVoFne0pCd2DSrTcktT2Sc6Fu2VPkBVlZvC5Ku1H2oUeJnVMUHA8aXOXEJiexJnSmPClagVMZyiK0_XnAfOHRJW9wzYaSvG37mh93QL2Q?session=0&fife
14,-71.31688,-40.14911,2/7/2021,2021,incendio viviendas,incendio_vivienda,calefactor,vivienda parcial,arenal,https://doc-14-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/1u1e8p5mg6b03rlgl8mvd1t4kk/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9mzGMWxPSvZ_sKECAqzm010Naj3w2242GOZ0CbvC_Ls8qZQ_Sxs6zV56zGzHYUiXvHHBSD0AUsFBfCpOYoZ71hJF5khwL4EtSeLSs2-JWqFO6qEfxOfOXN8nmPrVtdmPfFN-VznOcjem8PXILmvum_J7jQsftjS-OHkUB97QnHV6zBbrjkrlklV0NcfEePo134?session=0&fife
15,-71.35649,-40.1646,4/7/2021,2021,accidente vehicular,vuelco,desconocida,vehicular y lesiones leves,ruta 40,https://doc-14-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/5ipic5t85a2at4v88g68jpde4o/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9l4Rzebai8zVfgxyjuRlDpoREMfeJzao5xMp4AwDnisAmhYf1rbiSK8uzcXRdpvI9L1T_NV5gpa_VUIKpar8LwvvA4TCHwt9OCZdHqaCm4b4i7A9otuNmdpay8KGRMHZzNB9AleTpmaXRLD4HBmOFWiCj2Kpko1Dex0Ohp82XKtlXiMozcdp1NY45tob3PgJXc?session=0&fife
16,-71.29233,-40.13601,19/06/2021,2021,accidente vehicular,vuelco,desconocidas,lesiones leves,las rosas,https://doc-00-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/oraldm4v0l15unf7sht4v06fho/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9mdaaKQg6olAGc7J8Xwv-EVkgVgXShE60mXWWi3_J0I3W7dll30NZnpNgGyDQm5RuFVnpGN1C5VK9CveVKdGdEDBu5mlN3Cu7AHo0r43U-KZU2Rt24vIBpm1tB-z6zzZOPzPXLM9zJRAUQODOdLgkK-w_rZvUbjHQHxmB-nCaN49Z2rP0yvR_ypVSk_vVlkDOU?session=0&fife
17,-71.3447,-40.14798,30_06_2021,2021,incendio viviendas,incendio vivienda,desconocida,viviendas,altos del sol,https://doc-0o-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/03sgaqpad9qkkvknfgkate2fns/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9mD-AlSdir2cJ4svxT56Y9PPHOj7QQ4ejoOpSpVwePIlfYNHBb8TyK5ru7lPIbHmQw_9oZjZMp-L3RBWmsgWNijbek6UGCe6nS0Nr7qrx6BkAEyzFMNdCzJsUUsboalQHscdi6P9lvwuyN_IbMbXKNr-lq16yxhf0LANDpXPoCZePC2jo3FQI6vZz_h5kGoEtk?session=0&fife
18,-71.34952,-40.1511,2/7/2021,2021,caida de arbol o ramas,arbol rajado,quebradura bifurcacion,,viento intenso,https://doc-08-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/9u8d2te64n795trc3be67f5hmc/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9nDdpvzLeDUlNEOtsPE52YneA8Htu5XeFXYGDZ860VN0ysA30lF1742JjfqVPmTbv_p2hUfgyBH-r2DOtF_JzRjkl8TvLlgADLSt08UJpsNYaDRohlx753AqPpi0RwMLa_wvjzCOW5AloJaptP3pjvE4GLVx8jLTspDdsb7cV3Zz4uqbV17W_SGFEuYenCv8BM?session=0&fife
19,-71.3519,-40.15524,20/06/2021,2021,accidente objetos materiales,caida de grua,vuelco de grua,grua afectada,centro,https://doc-0o-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/dl2uvur5d5odrkdi1u6jkcdhtc/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9nIi5soBhQM4Jp7pZJ-1E4I95FSKl5jMCusvCCDJdOtZpA8O8lDhlOYUx3Rg6cKJXdA9CFnyUxyDA72uZ0N8abnJsJb5_4BcrDgAncLeGiu4DziON8PvusnuiQAdZhe958-EJME_NnnD8JVJkc57NxSOkJGvkb61rEOdvzDCbA_qXRFHzhq97u7HutW7oJDjEA?session=0&fife
